Range (km),A320,B737,A330,B757,A350,B787
125,3.871870925,3.3978638625,4.6168715625,4.062874487499999,3.935786775,4.264157212500001
165,5.110869621,4.4851802984999996,6.094270462500001,5.3629943235,5.195238543,5.628687520500001
205,6.349868317,5.5724967345,7.571669362500001,6.663114159499999,6.454690311,6.993217828500001
245,7.588867013000001,6.6598131705,9.0490682625,7.9632339954999996,7.714142079,8.357748136500001
285,8.827865709000001,7.7471296065,10.526467162500001,9.2633538315,8.973593847,9.7222784445
325,10.066864405,8.8344460425,12.0038660625,10.563473667499998,10.233045615,11.086808752500001
365,11.305863101,9.9217624785,13.481264962500001,11.863593503499999,11.492497383,12.4513390605
405,12.544861797000001,11.0090789145,14.958663862500002,13.1637133395,12.751949151,13.815869368500001
445,13.783860493,12.0963953505,16.4360627625,14.4638331755,14.011400919,15.180399676500002
485,15.022859189,13.1837117865,17.9134616625,15.763953011499998,15.270852687,16.5449299845
525,16.261857885,14.2710282225,19.390860562500002,17.0640728475,16.530304455,17.9094602925
565,17.500856581,15.3583446585,20.868259462500003,18.364192683499997,17.789756223,19.273990600500003
605,18.739855277,16.4456610945,22.345658362500004,19.664312519499997,19.049207991,20.638520908500002
645,19.978853973,17.5329775305,23.8230572625,20.964432355499998,20.308659759,22.0030512165
685,21.217852669,18.6202939665,25.3004561625,22.264552191499998,21.568111527,23.367581524500004
725,22.456851365000002,19.7076104025,26.777855062500002,23.5646720275,22.827563295,24.732111832500003
765,23.695850061,20.7949268385,28.255253962500003,24.8647918635,24.087015063,26.096642140500002
805,24.934848757,21.8822432745,29.732652862500004,26.1649116995,25.346466831,27.4611724485
845,26.173847453,22.9695597105,31.2100517625,27.4650315355,26.605918599,28.825702756500004
885,27.412846149,24.0568761465,32.687450662500005,28.765151371499996,27.865370367,30.190233064500003
925,28.651844845,25.1441925825,34.1648495625,30.065271207499997,29.124822135000002,31.554763372500002
965,29.890843541000002,26.2315090185,35.6422484625,31.365391043499997,30.384273903,32.919293680500004
