Variable,Param_Size1,Param_Size2,Param_Size3,Param_Size4,Param_Size5,Param_Size6,Param_Size7,Param_Size8,Param_Size9
ClimboutFuel_kg_Intercept,492.647815,661.7773674,844.1464323,830.7529378,977.3168245,2165.620124,2326.631187,3266.14906,5226.880346
ClimboutFuel_kg_Dist_km,0.079596771,0.098551597,0.063208267,0.091521377,0.070802954,0.088750551,0.172576934,0.055016894,0.315239135
ClimboutFuel_kg_Dist_km_x_Payload_kg,-8.44E-06,-6.24E-06,4.65E-07,-2.28E-06,-2.51E-08,-4.62E-07,-1.43E-06,3.94E-07,-1.66E-06
ClimboutFuel_kg_Dist_km_squared,-2.91E-06,-2.93E-06,4.36E-08,6.10E-09,1.49E-06,-1.20E-07,-2.47E-06,2.83E-06,-1.08E-06
ClimboutFuel_kg_Payload_kg,0.046421944,0.044564161,0.027366128,0.03952865,0.027505957,0.020783509,0.028881011,0.011821637,0.032368947
ClimboutFuel_kg_Dist_km_squared_x_Payload_kg,9.35E-10,7.56E-10,-2.06E-10,1.57E-10,-9.20E-11,4.52E-11,1.30E-10,4.80E-11,1.79E-10
ClimboutFuel_kg_MinValue,540,734,875,934,1004,2158,2446,3216,5404
CruiseFuel_kg_Intercept,-370.0238194,-495.9253389,-676.3644897,-609.8132348,-667.2879946,-1170.352726,-1446.858075,-1882.571339,-3470.124417
CruiseFuel_kg_Dist_km,1.311952861,1.758734896,1.940794229,2.113440916,2.097505077,3.636844778,4.391700918,5.62122383,8.878537777
CruiseFuel_kg_Dist_km_x_Payload_kg,4.60E-05,4.28E-05,3.45E-05,3.96E-05,3.96E-05,2.71E-05,3.23E-05,3.23E-05,3.31E-05
CruiseFuel_kg_Dist_km_squared,2.83E-05,3.60E-05,3.84E-05,4.23E-05,5.12E-05,6.74E-05,9.51E-05,0.00013574,0.00018232
CruiseFuel_kg_Payload_kg,-0.04508918,-0.045176543,-0.028218959,-0.041447688,-0.030411837,-0.032289181,-0.03688036,-0.018382274,-0.038031227
CruiseFuel_kg_Dist_km_squared_x_Payload_kg,-1.65E-09,-1.55E-09,3.35E-10,-4.10E-10,8.27E-10,9.72E-11,2.63E-10,4.34E-10,-2.98E-11
CruiseFuel_kg_MinValue,0,0,0,0,0,0,0,0,0
DescentFuel_kg_Intercept,74.10244596,106.3645346,209.352468,192.3812598,185.2551902,332.8356368,545.5971096,539.0677911,944.717978
DescentFuel_kg_Dist_km,0.001761174,0.002678954,0.004876438,-0.001843234,0.001977228,0.000915891,0.00611724,0.000509901,0.004279085
DescentFuel_kg_Dist_km_x_Payload_kg,-4.42E-07,-4.22E-07,-5.22E-07,5.79E-09,-2.04E-07,-7.59E-08,-1.92E-07,-5.61E-08,-1.19E-07
DescentFuel_kg_Dist_km_squared,-2.06E-07,-3.13E-07,-7.92E-07,2.16E-08,-1.85E-07,-1.43E-07,-5.16E-07,-1.37E-07,-6.07E-07
DescentFuel_kg_Payload_kg,0.001868434,0.001937698,0.001604369,0.001061793,0.001794193,0.001056022,0.001766315,0.000631911,0.00099269
DescentFuel_kg_Dist_km_squared_x_Payload_kg,0,0,0,0,0,0,0,0,0
DescentFuel_kg_MinValue,73,105,193,179,180,302,534,499,878
ClimboutNOx_kg_Intercept,5.934009709,9.679916683,16.37843791,15.27914924,19.81416562,35.92602026,62.47324815,97.39409924,169.4940707
ClimboutNOx_kg_Dist_km,0.000871224,0.001257297,0.001089071,0.001509083,0.001286638,0.001307563,0.003661868,0.002061484,0.007603773
ClimboutNOx_kg_Dist_km_x_Payload_kg,-7.97E-08,-5.72E-08,1.21E-08,-9.19E-09,2.27E-08,2.94E-09,-5.08E-10,1.55E-08,2.07E-08
ClimboutNOx_kg_Dist_km_squared,-2.45E-08,-1.94E-08,1.87E-08,2.65E-08,5.08E-08,2.00E-08,2.32E-08,1.06E-07,2.40E-07
ClimboutNOx_kg_Payload_kg,0.000531641,0.000612521,0.000546796,0.000708507,0.000574699,0.000347333,0.000720128,0.000441978,0.000942106
ClimboutNOx_kg_Dist_km_squared_x_Payload_kg,9.03E-12,7.52E-12,-9.36E-14,5.31E-13,-1.99E-12,5.69E-13,2.11E-12,1.60E-12,2.46E-12
ClimboutNOx_kg_MinValue,6.4,10.6,17,17,20.4,35.9,64.9,97.5,173.6
CruiseNOx_kg_Intercept,-4.011440216,-4.230125628,-5.99834947,-4.78357687,-6.656111872,-6.554684844,-11.37253499,-12.05106069,-45.00008217
CruiseNOx_kg_Dist_km,0.014233895,0.01561942,0.017765393,0.01845121,0.022127731,0.033710775,0.043077814,0.078954402,0.125019537
CruiseNOx_kg_Dist_km_x_Payload_kg,4.54E-07,6.31E-07,6.75E-07,7.32E-07,7.57E-07,4.41E-07,6.52E-07,9.53E-07,8.88E-07
CruiseNOx_kg_Dist_km_squared,2.75E-07,5.35E-07,7.25E-07,7.74E-07,9.76E-07,1.11E-06,1.97E-06,4.18E-06,4.94E-06
CruiseNOx_kg_Payload_kg,-0.000473156,-0.000536556,-0.00043838,-0.000593804,-0.000494084,-0.000540671,-0.000599878,-0.000708945,-0.000826964
CruiseNOx_kg_Dist_km_squared_x_Payload_kg,-2.15E-11,-2.10E-11,2.36E-12,-7.88E-12,1.65E-11,1.99E-12,1.08E-11,1.80E-11,1.40E-12
CruiseNOx_kg_MinValue,0,0,0,0,0,0,0,0,0
DescentNOx_kg_Intercept,0.189122781,0.308925008,0.829670077,0.81073783,0.827239865,1.097209089,2.903191131,1.742665766,4.456551551
DescentNOx_kg_Dist_km,-6.97E-07,2.02E-06,4.39E-05,-1.06E-05,5.00E-06,-2.57E-06,2.69E-05,1.09E-05,1.83E-05
DescentNOx_kg_Dist_km_x_Payload_kg,-3.02E-09,-1.11E-09,-3.81E-09,9.49E-10,-1.55E-09,-1.72E-10,-9.87E-10,-2.98E-10,-4.85E-10
DescentNOx_kg_Dist_km_squared,1.25E-09,-7.28E-10,-5.63E-09,-5.24E-10,6.87E-10,-2.57E-10,-2.40E-09,-7.94E-10,-2.46E-09
DescentNOx_kg_Payload_kg,8.49E-06,8.45E-06,7.65E-06,-6.30E-08,1.00E-05,2.48E-06,9.14E-06,2.69E-06,4.62E-06
