YEAR,QUARTER,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,CARRIER_REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,SERVICE_CLASS,AVL_SEAT_MILES_320,REV_PAX_MILES_140,REV_TON_MILES_240,REV_TON_MILES_FREIGHT_247,REV_TON_MILES_MAIL_249,AVL_TON_MILES_280,REV_ACRFT_MILES_FLOWN_410,REV_ACRFT_DEP_PERF_510,REV_ACRFT_HRS_AIRBORNE_610,NON_REV_ACRFT_HRS_AIRBORNE_620,ACRFT_HRS_RAMPTORAMP_630,HOURS_AIRBORNE_650,AIR_DAYS_EQUIP_810,AIR_DAYS_ROUTE_820,AIRCRAFT_FUELS_921,NUM_MONTHS
2019,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,F,21270481375.00,17135352453.00,1728728916.00,15193670.00,0.00,2573282013.00,148744625.00,231345.00,357188.00,,426085.00,,,,,3
2019,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,K,21270481375.00,17135352453.00,1728728916.00,15193670.00,0.00,2573282013.00,148744625.00,231345.00,357188.00,,426085.00,,,,,3
2019,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,L,10897887.00,10400108.00,1040011.00,0.00,0.00,1318416.00,76209.00,59.00,168.00,,185.00,,,,,3
2019,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,V,17363632.00,14002299.00,1400230.00,0.00,0.00,2100635.00,121424.00,90.00,270.00,,293.00,,,,,3
2019,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,612,1,Z,21287845007.00,17149354752.00,1730129145.00,15193670.00,0.00,2575382648.00,148866049.00,231435.00,357458.00,,426378.00,360788.00,44365.00,,309834769.00,3
2019,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,F,13518310400.00,11061317129.00,1119124532.00,12992819.00,0.00,1676270490.00,77247488.00,76113.00,173473.00,,197252.00,,,,,3
2019,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,K,13518310400.00,11061317129.00,1119124532.00,12992819.00,0.00,1676270490.00,77247488.00,76113.00,173473.00,,197252.00,,,,,3
2019,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,L,255500.00,232140.00,23214.00,0.00,0.00,31682.00,1460.00,1.00,3.00,,3.00,,,,,3
2019,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,V,255500.00,232140.00,23214.00,0.00,0.00,31682.00,1460.00,1.00,3.00,,3.00,,,,,3
2019,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,614,1,Z,13518565900.00,11061549269.00,1119147746.00,12992819.00,0.00,1676302172.00,77248948.00,76114.00,173476.00,,197256.00,174284.00,18244.00,,152185606.00,3
2019,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,838,1,F,1627993500.00,1287318721.00,130333048.00,1601176.00,0.00,201871194.00,9302820.00,9380.00,20962.00,,24222.00,,,,,3
2019,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,838,1,K,1627993500.00,1287318721.00,130333048.00,1601176.00,0.00,201871194.00,9302820.00,9380.00,20962.00,,24222.00,,,,,3
2019,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,838,1,L,255500.00,188340.00,18834.00,0.00,0.00,31682.00,1460.00,1.00,3.00,,3.00,,,,,3
2019,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,838,1,V,255500.00,188340.00,18834.00,0.00,0.00,31682.00,1460.00,1.00,3.00,,3.00,,,,,3
2019,1,19393,WN,Southwest Airlines Co.,06725,D,WN,Southwest Airlines Co.,3,3,6,838,1,Z,1628249000.00,1287507061.00,130351882.00,1601176.00,0.00,201902876.00,9304280.00,9381.00,20965.00,,24226.00,20992.00,2889.00,,16352670.00,3
2019,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,6,612,1,F,1144795223.00,941628518.00,94190223.00,27371.00,0.00,138496205.00,8005561.00,7571.00,18164.00,,21055.00,,,,,3
2019,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,6,612,1,K,1144795223.00,941628518.00,94190223.00,27371.00,0.00,138496205.00,8005561.00,7571.00,18164.00,,21055.00,,,,,3
2019,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,6,612,1,V,2190331.00,1088994.00,108899.00,0.00,0.00,264984.00,15317.00,7.00,35.00,,37.00,,,,,3
2019,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,6,612,1,Z,1146985554.00,942717512.00,94299122.00,27371.00,0.00,138761189.00,8020878.00,7578.00,18199.00,,21092.00,14564.00,1715.00,,12529673.00,3
2019,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,6,614,1,F,312206125.00,268295517.00,26869260.00,39709.00,0.00,38713560.00,1784035.00,1925.00,4088.00,,4810.00,,,,,3
2019,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,6,614,1,K,312206125.00,268295517.00,26869260.00,39709.00,0.00,38713560.00,1784035.00,1925.00,4088.00,,4810.00,,,,,3
2019,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,6,614,1,Z,312206125.00,268295517.00,26869260.00,39709.00,0.00,38713560.00,1784035.00,1925.00,4088.00,,4810.00,3278.00,386.00,,2819823.00,3
2019,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,6,838,1,F,12510225.00,10960033.00,1097838.00,1834.00,0.00,1551268.00,71487.00,56.00,156.00,,177.00,,,,,3
2019,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,6,838,1,K,12510225.00,10960033.00,1097838.00,1834.00,0.00,1551268.00,71487.00,56.00,156.00,,177.00,,,,,3
2019,1,19393,WN,Southwest Airlines Co.,11033,L,WN,Southwest Airlines Co.,3,3,6,838,1,Z,12510225.00,10960033.00,1097838.00,1834.00,0.00,1551268.00,71487.00,56.00,156.00,,177.00,125.00,15.00,,107381.00,3
