year,short_range,medium_range,long_range
2000,0.021576525,0.016829553,0.01963699
2001,0.021169995,0.016512462,0.019267004
2002,0.021489124,0.016761381,0.019557446
2003,0.02065209,0.016108499,0.018795654
2004,0.019640367,0.015319362,0.017874876
2005,0.019198324,0.014974571,0.017472568
2006,0.018473902,0.014409527,0.016813265
2007,0.017758205,0.013851288,0.016161903
2008,0.017009138,0.01326702,0.015480171
2009,0.016372491,0.012770439,0.014900752
2010,0.016285137,0.012702304,0.014821251
2011,0.015673301,0.012225075,0.014264413
2012,0.015215535,0.011868021,0.013847796
2013,0.014926537,0.011642605,0.013584777
2014,0.014548286,0.011347571,0.013240527
2015,0.014362109,0.011202354,0.013071085
2016,0.014071242,0.01097548,0.012806365
2017,0.014085696,0.010986753,0.012819519
2018,0.013782505,0.010750267,0.012543583
2019,0.01339322,0.010446627,0.01218929
2020,0.017478152,0.013632848,0.015907024
2021,0.012318174,0.009683932,0.011263457
2022,0.012018607,0.009443452,0.010969261
2023,0.011763711,0.009197889,0.010686084
2024,0.011558812,0.00896512,0.010432413
2025,0.011405316,0.008762469,0.010222814
2026,0.011383901,0.008664325,0.010138145
2027,0.011610644,0.008764096,0.010284074
2028,0.011975578,0.008978873,0.010561973
2029,0.012456286,0.009290982,0.010950584
2030,0.013049963,0.009696508,0.011445601
2031,0.013709133,0.01015818,0.01200366
2032,0.014453718,0.010689016,0.012640804
2033,0.015278452,0.011283569,0.013351249
2034,0.016178526,0.011937072,0.014129891
2035,0.017150321,0.012595249,0.014912858
2036,0.018212157,0.013344364,0.015802662
2037,0.019384762,0.014161235,0.016772079
2038,0.020669447,0.015038788,0.017812915
2039,0.022069624,0.015968489,0.018915192
2040,0.023590041,0.016939304,0.020065931
2041,0.025235733,0.017937297,0.021248693
2042,0.027011074,0.018946995,0.022445194
2043,0.028919217,0.019955314,0.023639969
2044,0.030961958,0.020957508,0.024827422
2045,0.033139919,0.021962452,0.026018083
2046,0.035452863,0.022993372,0.027239483
2047,0.037900024,0.024082233,0.0285295
2048,0.040480376,0.025260439,0.029925344
2049,0.043192821,0.026551062,0.031454351
2050,0.0460363,0.027965916,0.033130522
