icao_code,CD0,K,e,wing_area_m2
B734,0.02,0.044,0.793,91.04
GLF6,0.012,0.047,0.881,119.2
B737,0.022,0.043,0.78,124.6
A388,0.016,0.05,0.855,845
A19N,0.017,0.038,0.807,124
A359,0.022,0.043,0.783,442
Embraer E170,0.018,0.042,0.809,72.72
Boeing 737 MAX 7,0.02,0.042,0.797,124.6
B744,0.021,0.049,0.816,525.6
B752,0.021,0.049,0.813,182.3
Boeing 737 MAX 10,0.02,0.042,0.797,124.6
E175,0.018,0.042,0.809,72.72
B77W,0.024,0.043,0.765,436.8
B789,0.022,0.042,0.783,377
Embraer ERJ145 (LR),0.018,0.042,0.809,51.2
B788,0.017,0.041,0.819,377
Boeing 767-300,0.021,0.049,0.813,283.3
A320,0.018,0.039,0.799,124
Boeing 737 MAX 9,0.02,0.042,0.797,124.6
E190,0.018,0.044,0.817,92.5
A321,0.02,0.041,0.785,128
B748,0.021,0.047,0.806,554
A319,0.02,0.039,0.783,124
B38M,0.02,0.042,0.797,124.6
E195,0.021,0.045,0.795,92.5
Airbus A318,0.02,0.039,0.783,122.4
Boeing 777-300,0.024,0.047,0.783,427.8
A332,0.022,0.041,0.774,361.6
A333,0.022,0.041,0.773,361.6
B772,0.024,0.047,0.783,427.8
A20N,0.017,0.038,0.807,124
A343,0.019,0.04,0.799,363.1
C550,0.028,0.049,0.818,31.83
B738,0.019,0.042,0.799,124.6
B739,0.02,0.042,0.797,124.6
Airbus A321neo,0.017,0.038,0.807,128
