ICAO,S_ref (m^2),s (m),b_f (m),lambda_0 (deg),psi_0,psi_6,M_DO,(R^C)_DO,(C_L)_DO,(M_TF)^ac,J_1,J_2,(FL)_MO,M_MO
A30B,260.0,44.83,5.64,28.0,8.77,0.693,0.753,9.25E+07,0.548,0.712,0.074,0.868,390,0.852
A306,260.0,44.84,5.64,28.0,7.80,0.716,0.753,9.86E+07,0.519,0.721,0.076,0.871,410,0.852
A310,219.0,43.89,5.64,28.0,8.38,0.657,0.772,8.14E+07,0.558,0.744,0.073,0.869,410,0.854
A313,219.0,43.89,5.64,28.0,8.21,0.711,0.772,8.69E+07,0.564,0.738,0.075,0.870,410,0.854
A318,122.4,34.10,3.95,25.0,7.47,0.607,0.753,5.42E+07,0.564,0.754,0.075,0.871,410,0.852
A319,122.4,34.10,3.95,25.0,7.70,0.656,0.753,5.81E+07,0.569,0.755,0.075,0.871,410,0.852
A320,122.4,34.10,3.95,25.0,8.40,0.656,0.753,5.59E+07,0.590,0.750,0.073,0.869,410,0.852
A321,122.4,34.15,3.95,25.0,8.63,0.694,0.753,6.51E+07,0.606,0.740,0.074,0.869,391,0.852
A332,361.6,60.30,5.64,29.7,6.69,0.645,0.786,1.10E+08,0.528,0.762,0.076,0.872,410,0.856
A333,361.6,60.30,5.64,29.7,6.90,0.645,0.786,1.09E+08,0.535,0.761,0.076,0.872,410,0.856
A338,374.0,64.00,5.64,30.0,6.21,0.648,0.786,1.12E+08,0.530,0.781,0.078,0.874,415,0.856
A339,374.0,64.00,5.64,30.0,6.46,0.648,0.786,1.10E+08,0.539,0.779,0.077,0.873,415,0.856
A342,361.6,60.30,5.64,29.7,7.08,0.711,0.786,1.16E+08,0.551,0.760,0.077,0.872,415,0.856
A343,361.6,60.30,5.64,29.7,7.38,0.711,0.786,1.14E+08,0.561,0.757,0.076,0.872,415,0.856
A345,437.3,63.45,5.64,31.1,6.63,0.831,0.796,1.53E+08,0.512,0.766,0.078,0.874,415,0.856
A346,437.3,63.45,5.64,31.1,7.00,0.822,0.796,1.49E+08,0.523,0.759,0.077,0.873,415,0.856
A359,445.0,64.75,5.96,32.0,6.14,0.569,0.820,1.21E+08,0.493,0.791,0.078,0.874,431,0.859
A35K,465.0,64.75,5.96,32.0,6.18,0.625,0.820,1.34E+08,0.500,0.789,0.078,0.874,415,0.859
A388,845.0,79.80,7.14,30.0,6.13,0.620,0.820,1.95E+08,0.446,0.794,0.082,0.876,431,0.859
BCS1,115.0,32.50,3.51,26.0,7.34,0.576,0.754,4.88E+07,0.576,0.776,0.076,0.873,410,0.852
BCS3,115.0,32.50,3.51,26.0,7.72,0.641,0.754,5.35E+07,0.585,0.775,0.075,0.872,410,0.852
A20N,122.4,35.10,3.95,25.0,7.52,0.705,0.753,5.94E+07,0.598,0.786,0.076,0.873,391,0.852
A21N,122.4,35.27,3.95,25.0,8.08,0.835,0.753,6.60E+07,0.626,0.777,0.077,0.873,391,0.852
B712,92.8,28.40,3.40,25.0,8.72,0.748,0.700,5.12E+07,0.594,0.685,0.073,0.867,371,0.852
B722,157.9,32.92,3.76,32.0,7.90,0.554,0.770,6.49E+07,0.499,0.687,0.072,0.865,420,0.890
B723,99.0,28.35,3.76,25.0,8.41,0.589,0.700,5.02E+07,0.556,0.678,0.073,0.867,370,0.852
B733,102.0,28.90,3.76,25.0,9.20,0.700,0.729,5.39E+07,0.578,0.715,0.072,0.867,390,0.852
